昵称,地区,时间,评论
暖暖☀️爆爆,河南,2024-07-22 15:52:09,雷冖，你的车我开走了[捂脸]
可乐大爆炸,山东,2024-07-22 12:12:28,"出个红米汽车吧[思考]，车标就用双R, red rice"
黑凤梨💞,广西,2024-07-22 16:48:23,雷总，什么时候上映[思考]
oo5,河南,2024-07-22 12:38:56,《飞驰人生3》军儿～～演这个吧[不失礼貌的微笑][不失礼貌的微笑]
薄荷.。,山东,2024-07-22 12:07:09,爸
一眼一千年,贵州,2024-07-22 15:30:03,油门？雷总你在忽悠我哦？小米什么时候出油车了？……
花心菠萝头,江西,2024-07-22 12:52:08,祝雷总年入百万
Momo girl,福建,2024-07-22 16:35:28,是不是烧机油了
灰化肥发挥会挥发,山东,2024-07-22 14:10:41,小米手机一直出这个是什么意思
马子马子,江苏,2024-08-26 14:24:05,回去就用我爸的车试试
淡雅风韵（❤️）,湖南,2024-07-22 15:35:56,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]
幽弥狂,青海,2024-07-22 12:07:48,爸，我是你失散多年的儿子，雷赘啊[流泪][流泪]
阳光开朗孔乙己,黑龙江,2024-07-22 22:42:05,就为了玩这漂移，特意买了玩玩
🦕王静静🦕🦕🦕,河南,2024-07-22 13:59:01,停电了！从冰箱拿出来……它变成这样了[一头乱麻]
小南鸢吖,河南,2024-07-22 16:12:58,雷总，什么时候上映
凡人,四川,2024-07-22 16:17:28,用个这当头像我买辆
.海边听ᵏᵃʳʳʸ,广东,2024-07-22 13:55:00,[快哭了][快哭了]你赔我
暴富凡（无副作用版）,河南,2024-07-22 16:00:13,爸注意安全[赞]
胡译文,天津,2024-07-22 12:30:30,军，下次漂移的时候可不可以把姐带上？
牛大师,贵州,2024-07-22 17:19:13,雷总听说你还没有儿子，如果不嫌弃的话我可以给你养老
为什么这样子,湖北,2024-07-22 13:33:15,军子也是好起来了，都能接广子了，这一年下了不得挣个几十万。
茉莉雨开出了茉莉花,江苏,2024-07-22 14:41:37,爸
乐在骑中,四川,2024-07-22 16:25:52,祝雷总年入百万[呲牙]
航.,山东,2024-07-23 00:55:41,1楼不买我买  头像挂三天[奸笑]
文印刘皮（尊贵的小米车主）,湖南,2024-07-22 12:57:51,所以雷总，我的车啥时候能给我造出来[流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪][流泪]
四面八方,重庆,2024-07-22 14:53:12,我冒昧的问一下。核心技术是什么呢？
以言践行,广东,2024-07-23 12:27:10,纯电池怎么尾气冒烟的[捂脸]
🤓,浙江,2024-07-22 12:55:59,雷总可以出脱毛仪吗，脱毛仪太贵了[流泪]
爱野钓的修理工🐠,河北,2024-07-22 14:04:08,造手机的都造汽车了[捂脸]我想问一句，汽车门槛这么低吗，利润比手机高吗[捂脸]
元气喵,上海,2024-07-26 21:57:46,雷总  雷总  系统更新后的这个WiFi界面 我看不清[泪奔][泪奔]
ʊə,山西,2024-07-22 18:34:52,军儿，如果你用这个照片当头像，你就给我买一辆小米su7[看][看][看]
笼中黄鹤何处飞，夜久语深悲思啼,广东,2024-07-22 19:22:52,雷总可以出小米眼镜吗，眼镜行业一直很便宜，但是很多地方的眼镜店卖的特别贵，动辄上千，便宜耐用实惠的眼镜我认为对于很多人来说都很好，但是现在眼镜行业一直都维持现状，难以改变，所以眼镜价格还是普遍很高[流泪]
甲亢哥-结棍,安徽,2024-07-22 16:36:26,当网红真挣钱，雷军才红几天，一直接小米的广告，这么快就提车了
心隨所動,广东,2024-07-22 16:00:40,我试了一下然后就这样了
🌈北辰🌈🌈,广东,2024-08-04 21:27:43,没有别的恶意，在懂车滴看到的
EiSa,浙江,2024-07-22 15:59:48,肯定很多人在找之前的头像[看]
长沙县静赛通讯,湖南,2024-07-22 18:28:40,给雷总看个检测单，小米14，7月10号激活，感觉信号有问题，去售后检测，售后说机器无故障，方案是更换新机可退回来的是原手机，并说手机有信号故障信号差，格数少……我怀疑手机是不是售后的检测单，于是给售后打电话，售后给出的回复是手机 在专业的设备检测了(用手操作1分钟)？就能确定手机没有问题，？检测的售后单据开错了。不认账
丛林,山西,2024-07-22 21:47:46,雷总能不能帮我解决一下售后问题
鲈鱼岛岛主,湖南,2024-07-23 16:28:40,我赌上最后一次[玫瑰]
千赈,内蒙古,2024-07-22 13:54:24,雷总你是真听劝[看]
热心群众,广东,2024-07-22 18:05:54,大年初一 我们不散不见！
